Name,Equities,pct,id,Ranking,Sector1,Sector2,Indice
Lyxor International Asset Management SAS,36953056,1.53,AXA,5,Financials,Life & Health Insurance - NEC, CAC40
AXA SA,31342489,1.3,AXA,6,Financials,Life & Health Insurance - NEC, CAC40
BNP Paribas Asset Management France SAS,27483763,1.14,AXA,7,Financials,Life & Health Insurance - NEC, CAC40
Amundi Asset Management SA (Investment Management),26269456,1.09,AXA,8,Financials,Life & Health Insurance - NEC, CAC40
"Thornburg Investment Management, Inc.",20440501,0.85,AXA,9,Financials,Life & Health Insurance - NEC, CAC40
BlackRock Advisors (UK) Ltd.,19751150,0.82,AXA,10,Financials,Life & Health Insurance - NEC, CAC40
Government of France,47983131,12,SAFRAN,1,Industrials,Aircraft Parts Manufacturing, CAC40
Sagem SA Employee Stock Ownership Plan,28860491,7.21,SAFRAN,2,Industrials,Aircraft Parts Manufacturing, CAC40
TCI Fund Management Ltd.,22886979,5.71,SAFRAN,3,Industrials,Aircraft Parts Manufacturing, CAC40
Capital Research & Management Co. (World Investors),21862046,5.46,SAFRAN,4,Industrials,Aircraft Parts Manufacturing, CAC40
Capital Research & Management Co. (Global Investors),12330161,3.08,SAFRAN,5,Industrials,Aircraft Parts Manufacturing, CAC40
"The Vanguard Group, Inc.",9633101,2.4,SAFRAN,6,Industrials,Aircraft Parts Manufacturing, CAC40
BlackRock Investment Management (UK) Ltd.,7074398,1.77,SAFRAN,7,Industrials,Aircraft Parts Manufacturing, CAC40
Jennison Associates LLC,5238494,1.31,SAFRAN,8,Industrials,Aircraft Parts Manufacturing, CAC40
Wellington Management Co. LLP,4742495,1.18,SAFRAN,9,Industrials,Aircraft Parts Manufacturing, CAC40
FFP Société anonyme,3207261,0.8,SAFRAN,10,Industrials,Aircraft Parts Manufacturing, CAC40
Ricard Family,41158221,15.5,PERNOD-RICARD,1,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
Groupe Bruxelles Lambert SA (Investment Company),19891870,7.49,PERNOD-RICARD,2,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
Capital Research & Management Co. (World Investors),9349155,3.52,PERNOD-RICARD,3,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
